Scenario,Model,Mean (dBm),Std (dB),Range (dBm),Good+ (%)
Open Field,FSPL,-33.0,4.5,"[-39, -25]",100
Open Field,3GPP UMi,-34.3,4.7,"[-41, -26]",100
Open Field,3GPP UMa,-31.3,4.9,"[-38, -23]",100
Open Field,Ray Tracing,-33.0,4.5,"[-39, -25]",100
Open Field,Hybrid,-34.3,4.7,"[-41, -26]",100
Dense Urban,FSPL,-53.4,35.2,"[-150, -33]",90
Dense Urban,3GPP UMi,-57.6,36.6,"[-150, -34]",80
Dense Urban,3GPP UMa,-55.0,37.3,"[-150, -31]",80
Dense Urban,Ray Tracing,-47.3,34.5,"[-150, -33]",90
Dense Urban,Hybrid,-49.0,33.9,"[-150, -34]",90
Street Canyon,FSPL,-61.0,45.5,"[-150, -24]",80
Street Canyon,3GPP UMi,-66.0,44.6,"[-150, -24]",80
Street Canyon,3GPP UMa,-63.3,45.8,"[-150, -21]",80
Street Canyon,Ray Tracing,-54.6,47.9,"[-150, -23]",80
Street Canyon,Hybrid,-56.8,46.8,"[-150, -24]",80
Elevated Macro,FSPL,-32.9,39.5,"[-150, -16]",90
Elevated Macro,3GPP UMi,-35.7,39.5,"[-150, -17]",90
Elevated Macro,3GPP UMa,-33.1,40.3,"[-150, -15]",90
Elevated Macro,Ray Tracing,-30.4,40.0,"[-150, -14]",90
Elevated Macro,Hybrid,-32.7,39.1,"[-150, -17]",90
Indoor-Outdoor,FSPL,-76.0,49.5,"[-150, -30]",70
Indoor-Outdoor,3GPP UMi,-82.9,46.9,"[-150, -31]",70
Indoor-Outdoor,3GPP UMa,-80.7,48.3,"[-150, -28]",70
Indoor-Outdoor,Ray Tracing,-68.5,53.5,"[-150, -28]",70
Indoor-Outdoor,Hybrid,-69.8,52.7,"[-150, -31]",70
