model,model_name,point_desc,x,y,z,signal_dbm,distance_m
free_space,"Free Space Path Loss","5m LOS",5,0,1.5,-32.95,5.00
free_space,"Free Space Path Loss","10m LOS",10,0,1.5,-33.48,10.00
free_space,"Free Space Path Loss","20m LOS",20,0,1.5,-35.12,20.00
free_space,"Free Space Path Loss","30m LOS",30,0,1.5,-36.95,30.00
free_space,"Free Space Path Loss","50m LOS",50,0,1.5,-40.18,50.00
free_space,"Free Space Path Loss","14m diagonal",10,10,1.5,-34.09,14.14
free_space,"Free Space Path Loss","28m diagonal",20,20,1.5,-56.64,28.28
free_space,"Free Space Path Loss","18m behind",-10,15,1.5,-34.76,18.02
free_space,"Free Space Path Loss","29m offset",25,-15,1.5,-150.00,29.15
free_space,"Free Space Path Loss","50m far diagonal",40,30,1.5,-80.18,50.00
3gpp_umi,"3GPP TR 38.901 UMi","5m LOS",5,0,1.5,-34.28,5.00
3gpp_umi,"3GPP TR 38.901 UMi","10m LOS",10,0,1.5,-34.83,10.00
3gpp_umi,"3GPP TR 38.901 UMi","20m LOS",20,0,1.5,-36.56,20.00
3gpp_umi,"3GPP TR 38.901 UMi","30m LOS",30,0,1.5,-38.48,30.00
3gpp_umi,"3GPP TR 38.901 UMi","50m LOS",50,0,1.5,-41.87,50.00
3gpp_umi,"3GPP TR 38.901 UMi","14m diagonal",10,10,1.5,-35.48,14.14
3gpp_umi,"3GPP TR 38.901 UMi","28m diagonal",20,20,1.5,-71.25,28.28
3gpp_umi,"3GPP TR 38.901 UMi","18m behind",-10,15,1.5,-36.18,18.02
3gpp_umi,"3GPP TR 38.901 UMi","29m offset",25,-15,1.5,-150.00,29.15
3gpp_umi,"3GPP TR 38.901 UMi","50m far diagonal",40,30,1.5,-97.49,50.00
3gpp_uma,"3GPP TR 38.901 UMa","5m LOS",5,0,1.5,-31.26,5.00
3gpp_uma,"3GPP TR 38.901 UMa","10m LOS",10,0,1.5,-31.84,10.00
3gpp_uma,"3GPP TR 38.901 UMa","20m LOS",20,0,1.5,-33.65,20.00
3gpp_uma,"3GPP TR 38.901 UMa","30m LOS",30,0,1.5,-35.66,30.00
3gpp_uma,"3GPP TR 38.901 UMa","50m LOS",50,0,1.5,-39.21,50.00
3gpp_uma,"3GPP TR 38.901 UMa","14m diagonal",10,10,1.5,-32.52,14.14
3gpp_uma,"3GPP TR 38.901 UMa","28m diagonal",20,20,1.5,-67.60,28.28
3gpp_uma,"3GPP TR 38.901 UMa","18m behind",-10,15,1.5,-33.26,18.02
3gpp_uma,"3GPP TR 38.901 UMa","29m offset",25,-15,1.5,-150.00,29.15
3gpp_uma,"3GPP TR 38.901 UMa","50m far diagonal",40,30,1.5,-94.51,50.00
ray_tracing,"Ray Tracing","5m LOS",5,0,1.5,-32.95,5.00
ray_tracing,"Ray Tracing","10m LOS",10,0,1.5,-33.48,10.00
ray_tracing,"Ray Tracing","20m LOS",20,0,1.5,-34.22,20.00
ray_tracing,"Ray Tracing","30m LOS",30,0,1.5,-33.02,30.00
ray_tracing,"Ray Tracing","50m LOS",50,0,1.5,-38.40,50.00
ray_tracing,"Ray Tracing","14m diagonal",10,10,1.5,-34.09,14.14
ray_tracing,"Ray Tracing","28m diagonal",20,20,1.5,-34.80,28.28
ray_tracing,"Ray Tracing","18m behind",-10,15,1.5,-34.76,18.02
ray_tracing,"Ray Tracing","29m offset",25,-15,1.5,-150.00,29.15
ray_tracing,"Ray Tracing","50m far diagonal",40,30,1.5,-47.38,50.00
hybrid,"Hybrid (3GPP + RT)","5m LOS",5,0,1.5,-34.28,5.00
hybrid,"Hybrid (3GPP + RT)","10m LOS",10,0,1.5,-34.83,10.00
hybrid,"Hybrid (3GPP + RT)","20m LOS",20,0,1.5,-36.56,20.00
hybrid,"Hybrid (3GPP + RT)","30m LOS",30,0,1.5,-38.48,30.00
hybrid,"Hybrid (3GPP + RT)","50m LOS",50,0,1.5,-41.87,50.00
hybrid,"Hybrid (3GPP + RT)","14m diagonal",10,10,1.5,-35.48,14.14
hybrid,"Hybrid (3GPP + RT)","28m diagonal",20,20,1.5,-34.80,28.28
hybrid,"Hybrid (3GPP + RT)","18m behind",-10,15,1.5,-36.18,18.02
hybrid,"Hybrid (3GPP + RT)","29m offset",25,-15,1.5,-150.00,29.15
hybrid,"Hybrid (3GPP + RT)","50m far diagonal",40,30,1.5,-47.38,50.00
